"h3_id","count_traffic","mean_speed","scale"
"8a6ad8c36a0ffff","2.45","52.3768","5"
"8a6ad8c36a67fff","10.4286","57.7742","5"
"8a6ad8c36b77fff","9.8571","58.9149","5"
"8a6ad8c34c0ffff","1.0","58.9875","5"
"8a6ad8c30407fff","8.4286","58.5708","5"
"8a6ad8c33757fff","6.1905","56.4517","5"
"8a6ad8d13477fff","6.8095","50.9047","5"
"8a6ad8d12977fff","3.2857","54.1282","5"
"8a6ad8d137a7fff","6.0476","58.8767","5"
"8a6ad8c36ae7fff","10.4286","58.0691","5"
"8a6ad8c34cb7fff","10.2381","58.3556","5"
"8a6ad8c330b7fff","13.2381","55.6893","5"
"8a6ad8c14a57fff","11.6667","58.7202","5"
"8a6ad8d120effff","1.4","50.34","5"
"8a6ad8d122e7fff","1.0","58.001","5"
"8a6ad8c36b2ffff","8.5714","58.6139","5"
"8a6ad8c36ad7fff","5.1905","55.4589","5"
"8a6ad8c331b7fff","17.0476","51.3159","5"
"8a6ad8d13607fff","3.75","50.1792","5"
"8a6ad8c34ce7fff","8.4762","54.0397","5"
"8a6ad8c32b47fff","10.7143","55.3028","5"
"8a6ad8c3375ffff","16.6667","53.8041","5"
"8a6ad8d12aaffff","7.1429","52.6277","5"
"8a6ad8c15d27fff","1.4286","59.2409","5"
"8a6ad8c33767fff","1.0","50.3698","5"
"8a6ad8c34c1ffff","10.1429","53.4567","5"
"8a6ad8c304c7fff","9.4762","53.113","5"
"8a6ad8c34ca7fff","9.4762","53.6986","5"
"8a6ad8c32a77fff","11.381","50.6136","5"
"8a6ad8c32b57fff","11.3333","52.6111","5"
"8a6ad8c330cffff","16.1905","53.7277","5"
"8a6ad8c36327fff","5.8571","52.0794","5"
"8a6ad8c3050ffff","10.6667","53.3323","5"
"8a6ad8c30427fff","9.1905","52.7338","5"
"8a6ad8c344f7fff","9.9048","51.7698","5"
"8a6ad8dad927fff","7.9524","54.7871","5"
"8a6ad8c336c7fff","8.2381","55.9277","5"
"8a6ad8c36a47fff","10.1905","54.7028","5"
"8a6ad8c344affff","1.0","59.7745","5"
"8a6ad8d1205ffff","3.4286","50.1359","5"
"8a6ad8da98e7fff","9.1429","56.8439","5"
"8a6ad8c330f7fff","16.5714","51.8342","5"
"8a6ad8dad78ffff","3.6667","57.564","5"
"8a6ad8c32a47fff","10.7619","56.9357","5"
"8a6ad8d1488ffff","12.3333","53.978","5"
"8a6ad8d12967fff","3.5714","51.7786","5"
"8a6ad8da981ffff","9.9524","59.4221","5"
"8a6ad8c34197fff","8.4762","51.1395","5"
"8a6ad8d1344ffff","6.4286","57.5513","5"
"8a6ad8d0200ffff","1.0","57.5054","5"
"8a6ad8c330c7fff","15.3333","56.2805","5"
"8a6ad8d16ae7fff","6.2857","53.4058","5"
"8a6ad8c330affff","16.5714","53.2846","5"
"8a6ad8d1359ffff","7.0476","58.424","5"
"8a6ad8da9bb7fff","9.1905","58.4303","5"
"8a6ad8c32a2ffff","11.6667","56.6261","5"
"8a6ad8d12b1ffff","7.0","51.9761","5"
"8a6ad8c3632ffff","10.6667","55.545","5"
"8a6ad8d1362ffff","6.4286","59.0752","5"
"8a6ad8c14a5ffff","13.0","51.6061","5"
"8a6ad8c33c9ffff","15.7619","52.2063","5"
"8a6ad8c15d37fff","15.2381","50.9745","5"
"8a6ad8d16a77fff","4.8421","52.849","5"
"8a6ad8d12a17fff","7.3333","57.28","5"
"8a6ad8c362e7fff","8.7619","50.8445","5"
"8a6ad8da9b5ffff","1.0","53.7912","5"
"8a6ad8c3369ffff","16.1429","58.6846","5"
"8a6ad8d147b7fff","7.2381","55.1554","5"
"8a6ad8c34c57fff","8.2381","54.3624","5"
"8a6ad8d120cffff","7.3333","52.282","5"
"8a6ad8c30797fff","10.4286","59.7562","5"
"8a6ad8da9987fff","9.8571","53.0925","5"
"8a6ad8d12a37fff","7.2381","59.4153","5"
"8a6ad8c3319ffff","16.5714","51.4131","5"
"8a6ad8c34547fff","9.5238","51.2212","5"
"8a6ad8c14af7fff","17.4762","51.8327","5"
"8a6ad8dad057fff","1.5","51.6399","5"
"8a6ad8c341b7fff","9.9048","56.6101","5"
"8a6ad8d16b5ffff","7.3333","59.6992","5"
"8a6ad8c33197fff","5.2381","51.8837","5"
"8a6ad8c36a77fff","2.5556","57.4549","5"
"8a6ad8c33777fff","16.5238","52.3989","5"
"8a6ad8c34577fff","8.4286","55.3006","5"
"8a6ad8d162dffff","6.8571","54.4303","5"
"8a6ad8c34507fff","9.6667","59.4589","5"
"8a6ad8dad907fff","4.381","51.5365","5"
"8a6ad8c14a47fff","4.9048","50.8355","5"
"8a6ad8c3079ffff","1.6667","51.2243","5"
"8a6ad8da998ffff","3.7","51.5623","5"
"8a6ad8c33c8ffff","15.8571","58.3859","5"
"8a6ad8c32aeffff","11.619","56.4014","5"
"8a6ad8c3630ffff","8.7143","58.9871","5"
"8a6ad8c33187fff","8.9524","57.9832","5"
"8a6ad8c36357fff","10.7143","50.7726","5"
"8a6ad8d123b7fff","6.8095","53.8619","5"
"8a6ad8d16af7fff","7.0952","57.1345","5"
"8a6ad8c32a57fff","10.8095","52.6369","5"
"8a6ad8da936ffff","9.4762","54.8197","5"
"8a6ad8d123a7fff","5.7619","53.1575","5"
"8a6ad8c3452ffff","10.0","52.173","5"
"8a6ad8c32b4ffff","7.9524","59.694","5"
"8a6ad8c14ac7fff","9.2381","50.3807","5"
"8a6ad8c36377fff","6.9048","57.918","5"
"8a6ad8c330dffff","14.381","57.7857","5"
"8a6ad8c32b5ffff","1.5","51.9742","5"
"8a6ad8c34c17fff","10.0952","57.1153","5"
"8a6ad8c3625ffff","10.5714","52.2094","5"
"8a6ad8c14a4ffff","16.1905","58.5917","5"
"8a6ad8c33d87fff","10.7143","58.9853","5"
"8a6ad8c3620ffff","10.8095","50.6904","5"
"8a6ad8c14aeffff","8.3333","53.7424","5"
"8a6ad8d1204ffff","4.5238","56.6961","5"
"8a6ad8c3368ffff","16.9524","57.7018","5"
"8a6ad8c3040ffff","10.4286","58.0605","5"
"8a6ad8d141affff","7.1429","57.5113","5"
"8a6ad8d162d7fff","7.0952","58.5742","5"
"8a6ad8c304e7fff","11.5714","57.522","5"
"8a6ad8da99affff","8.1905","53.0818","5"
"8a6ad8c344dffff","7.0","58.0327","5"
"8a6ad8c30507fff","9.9524","53.6057","5"
"8a6ad8da9a1ffff","6.1429","52.9893","5"
"8a6ad8d12a87fff","3.1579","53.8621","5"
"8a6ad8c336d7fff","9.5238","52.4964","5"
"8a6ad8c34c5ffff","9.5238","52.1427","5"
"8a6ad8d12297fff","1.5","55.5123","5"
"8a6ad8c336f7fff","13.8095","59.2358","5"
"8a6ad8d13447fff","7.6667","53.9965","5"
"8a6ad8c33d9ffff","11.0952","50.1992","5"
"8a6ad8c330a7fff","15.4762","55.1019","5"
"8a6ad8c36a8ffff","10.5238","56.9512","5"
"8a6ad8c3454ffff","8.9048","53.0968","5"
"8a6ad8c306b7fff","8.0476","58.7971","5"
"8a6ad8d13657fff","7.5238","53.2095","5"
"8a6ad8c36257fff","10.5714","51.4801","5"
"8a6ad8d16a0ffff","6.3333","57.4219","5"
"8a6ad8c32b67fff","8.8095","51.3731","5"
"8a6ad8d1360ffff","3.35","59.5644","5"
"8a6ad8c34417fff","10.1905","52.5539","5"
"8a6ad8c3456ffff","9.0952","53.9437","5"
"8a6ad8d135b7fff","5.7619","51.4497","5"
"8a6ad8c32b6ffff","11.0476","53.713","5"
"8a6ad8c336e7fff","16.9524","58.0795","5"
"8a6ad8c34cdffff","9.8571","59.2319","5"
"8a6ad8c34407fff","9.3333","57.379","5"
"8a6ad8c006d7fff","1.0","52.6257","5"
"8a6ad8d13677fff","7.1905","51.4641","5"
"8a6ad8c3374ffff","11.2381","50.9265","5"
"8a6ad8c33db7fff","11.381","51.7093","5"
"8a6ad8da0717fff","1.0","54.7856","5"
"8a6ad8c33caffff","3.8421","56.6974","5"
"8a6ad8c14ae7fff","15.619","55.6571","5"
"8a6ad8d1628ffff","6.4286","50.9749","5"
"8a6ad8c3624ffff","10.7619","54.5749","5"
"8a6ad8d16287fff","7.0","54.5721","5"
"8a6ad8d14117fff","7.1429","54.7447","5"
"8a6ad8d16a2ffff","2.2","56.7954","5"
"8a6ad8d16ad7fff","7.0952","52.2207","5"
"8a6ad8c3622ffff","9.9048","58.6848","5"
"8a6ad8c30517fff","9.0476","52.1116","5"
"8a6ad8c33747fff","7.5714","53.5927","5"
"8a6ad8c33c87fff","1.0","57.7384","5"
"8a6ad8d16b6ffff","7.0476","53.8898","5"
"8a6ad8d13597fff","7.5714","50.4371","5"
"8a6ad8c34caffff","1.0","56.9284","5"
"8a6ad8c34db7fff","10.2381","58.4104","5"
"8a6ad8c34187fff","7.3333","57.7636","5"
"8a6ad8c36a6ffff","3.9524","50.8302","5"
"8a6ad8d12a9ffff","7.2381","54.4855","5"
"8a6ad8da9817fff","10.0952","52.2732","5"
"8a6ad8da9367fff","10.2381","50.412","5"
"8a6ad8c30537fff","8.4762","52.6077","5"
"8a6ad8c34da7fff","8.4286","50.7029","5"
"8a6ad8c33537fff","12.0","56.744","5"
"8a6ad8d12317fff","6.381","55.6971","5"
"8a6ad8c34c4ffff","10.2381","52.6288","5"
"8a6ad8d12a8ffff","4.0","56.6628","5"
"8a6ad8da9167fff","2.3529","59.0935","5"
"8a6ad8da9a17fff","10.5714","57.2891","5"
"8a6ad8da9837fff","9.9048","52.0341","5"
"8a6ad8c34567fff","2.2941","56.2532","5"
"8a6ad8c34697fff","1.0","59.8938","5"
"8a6ad8da9a2ffff","10.3333","54.3091","5"
"8a6ad8da9a07fff","10.5714","52.4283","5"
"8a6ad8c33657fff","14.3333","57.8424","5"
"8a6ad8c1430ffff","1.25","57.1858","5"
"8a6ad8d1479ffff","5.5238","55.6457","5"
"8a6ad8c36af7fff","10.7143","59.1068","5"
"8a6ad8c34117fff","1.6842","50.4603","5"
"8a6ad8d13437fff","1.75","59.1138","5"
"8a6ad8c33cb7fff","11.1429","53.4549","5"
"8a6ad8c34427fff","10.0","50.4475","5"
"8a6ad8da9b97fff","11.6667","52.8804","5"
"8a6ad8d09caffff","2.0","59.7849","5"
"8a6ad8da9a5ffff","9.5714","59.7366","5"
"8a6ad8c3301ffff","1.8182","55.6323","5"
